state,total_deaths,name,scode,id,_merge
1,15619.70199841261,Alabama,22,2,Matched (3)
2,1152.883335009217,Alaska,49,1,Matched (3)
4,15618.55785654485,Arizona,24,5,Matched (3)
5,9593.614691980183,Arkansas,33,3,Matched (3)
6,57941.17209775746,California,1,6,Matched (3)
8,9452.401561975479,Colorado,26,7,Matched (3)
9,4630.498814180493,Connecticut,27,8,Matched (3)
10,2009.066668227315,Delaware,46,10,Matched (3)
11,446.9333336055279,District of Columbia,,9,Matched (3)
12,49632.54229906201,Florida,4,11,Matched (3)
13,24331.893244192,Georgia,11,12,Matched (3)
15,1751.300001770258,Hawaii,41,56,Matched (3)
16,3706.107145510614,Idaho,42,15,Matched (3)
17,17756.24951381236,Illinois,6,16,Matched (3)
18,14220.68657112867,Indiana,14,17,Matched (3)
19,6142.89199591428,Iowa,30,14,Matched (3)
20,6976.314290642738,Kansas,32,18,Matched (3)
21,13045.97739379853,Kentucky,23,19,Matched (3)
22,13163.44626870751,Louisiana,21,20,Matched (3)
23,2574.81666892767,Maine,38,22,Matched (3)
24,8947.827920541167,Maryland,19,53,Matched (3)
25,5925.5190525949,Massachusetts,13,21,Matched (3)
26,17029.90864126943,Michigan,8,23,Matched (3)
27,7015.354370936751,Minnesota,20,24,Matched (3)
28,11348.68413433433,Mississippi,31,26,Matched (3)
29,15078.48442962021,Missouri,15,25,Matched (3)
30,3360.316667959094,Montana,44,27,Matched (3)
31,3877.758204370737,Nebraska,36,30,Matched (3)
32,5131.405561737716,Nevada,39,34,Matched (3)
33,1947.012501597404,New Hampshire,40,31,Matched (3)
34,9850.29734274745,New Jersey,9,32,Matched (3)
35,6326.924212306738,New Mexico,37,33,Matched (3)
36,18334.12807390653,New York,2,35,Matched (3)
37,23822.7337526381,North Carolina,10,28,Matched (3)
38,2110.866668008268,North Dakota,47,29,Matched (3)
39,19390.81933762319,Ohio,7,36,Matched (3)
40,11887.48413833976,Oklahoma,28,37,Matched (3)
41,7153.810155957937,Oregon,29,38,Matched (3)
42,21062.65109239519,Pennsylvania,5,39,Matched (3)
44,1030.133334338665,Rhode Island,43,41,Matched (3)
45,15989.01588789374,South Carolina,25,52,Matched (3)
46,2182.60000102222,South Dakota,45,42,Matched (3)
47,18078.39052584395,Tennessee,17,43,Matched (3)
48,61539.52554865554,Texas,3,54,Matched (3)
49,4478.611116342247,Utah,35,44,Matched (3)
50,1085.716667979956,Vermont,48,47,Matched (3)
51,13336.56299996376,Virginia,12,45,Matched (3)
53,8780.219652347267,Washington,18,48,Matched (3)
54,5148.247226454318,West Virginia,34,50,Matched (3)
55,10046.46021774411,Wisconsin,16,49,Matched (3)
56,2177.719445824623,Wyoming,50,51,Matched (3)
